Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
DeleteModel,"Grants permission to delete a model created using the CreateModel API. The DeleteModel API deletes only the model entry in Amazon SageMaker that you created by calling the CreateModel API. It does not delete model artifacts, inference code, or the IAM role that you specified when creating the model",Write,model*,,
DeleteModelBiasJobDefinition,Grants permission to delete the model bias job definition created using the CreateModelBiasJobDefinition API,Write,model-bias-job-definition*,,
DeleteModelExplainabilityJobDefinition,Grants permission to delete the model explainability job definition created using the CreateModelExplainabilityJobDefinition API,Write,model-explainability-job-definition*,,
DeleteModelPackage,Grants permission to delete a ModelPackage,Write,model-package*,,
DeleteModelPackageGroup,Grants permission to delete a ModelPackageGroup,Write,model-package-group*,,
DeleteModelPackageGroupPolicy,Grants permission to delete a ModelPackageGroup policy,Write,model-package-group*,,
DeleteModelQualityJobDefinition,Grants permission to delete the model quality job definition created using the CreateModelQualityJobDefinition API,Write,model-quality-job-definition*,,
DeleteMonitoringSchedule,Grants permission to delete a monitoring schedule,Write,monitoring-schedule*,,
DeleteNotebookInstance,"Grants permission to delete a Amazon SageMaker notebook instance. Before you can delete a notebook instance, you must call the StopNotebookInstance API",Write,notebook-instance*,,
DeleteNotebookInstanceLifecycleConfig,Grants permission to delete a notebook instance lifecycle configuration,Write,notebook-instance-lifecycle-config*,,
DeletePipeline,Grants permission to delete a pipeline,Write,pipeline*,,
DeleteProject,Grants permission to delete a project,Write,project*,,
DeleteRecord,Grants permission to delete a record from a feature group,Write,feature-group*,,
DeleteStudioLifecycleConfig,Grants permission to delete a Studio Lifecycle Configuration,Write,studio-lifecycle-config*,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,inference-recommendations-job,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,labeling-job,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,lineage-group,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,model,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,model-bias-job-definition,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,model-explainability-job-definition,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,model-package,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,model-package-group,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,model-quality-job-definition,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,studio-lifecycle-config,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,notebook-instance,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,pipeline,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,processing-job,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,project,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,image,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,training-job,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,transform-job,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,user-profile,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,workforce,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,monitoring-schedule,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,hyper-parameter-tuning-job,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,experiment,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,flow-definition,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,action,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,algorithm,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,app,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,app-image-config,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,artifact,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,automl-job,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,code-repository,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,compilation-job,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,context,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,human-task-ui,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,data-quality-job-definition,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,device-fleet,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,domain,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,edge-packaging-job,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,endpoint,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,endpoint-config,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,workteam,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,experiment-trial,,
